video_id,title,published_at,query,has_caption,caption_path
qQ-rmtKsbP0,I tested 10+ Skincare Products for 365 Days ✅(Not Sponsored review) #skincare #review,2026-05-07T15:07:12Z,skincare review,False,
4yL2HlduOrA,"Trying Hyped Skincare Products | Unsponsored Review | D&#39;you, Simple, Aqualogica, Chemist at play",2023-03-03T06:36:33Z,skincare review,False,
E0XiWVORgOM,I Tried Cureskin for 30 Days… and THIS Happened?? 😰😕,2025-08-02T11:25:36Z,skincare review,False,
QsmqRGlcjLY,"Bathcare, Skincare and Everything Else In My Morning Routine | Nakshathra Nagesh",2025-07-12T08:30:25Z,skincare review,False,
_Su3hGlR7ec,Best &amp; Worst of SKINCARE 2024! Non Sponsored Brutally Honest Reviews ✨Sarah Sarosh,2025-01-12T14:24:05Z,skincare review,False,
slvqx--MO8g,I Tested the Most VIRAL Skincare Products for 3+ MONTHS… Here’s What Actually Works | PART 1,2025-11-16T08:18:12Z,skincare review,False,
kcSFlsFHegc,"Speed review of popular skin care products | ordinary, derma co, wish care, novology, dot &amp;key",2026-06-04T07:49:18Z,skincare review,False,
iBCa99uAltQ,Honest Review on Dot&amp;Key Skincare Products🩵#review #skincare #skincareproducts #shortsviral #shorts,2024-11-27T14:35:12Z,skincare review,False,
M7T3CyNguEk,How To Get Korean GLASS SKIN ( My SkinCare Routine)  Honest product Review !,2024-03-31T05:54:21Z,skincare review,False,
UntOpGicfvY,I Tested the Most VIRAL Skincare Products for 3+ MONTHS… Here’s What Actually Works | PART 2,2025-12-07T07:45:01Z,skincare review,False,
suAX3uwtNZk,😭 Useless Skincare Products? Here’s How to Use Them Anyway !✨,2025-04-17T06:44:40Z,skincare review,False,
o-_aJfu1Ez4,Transform to clear skin using Simple skincare products #tamil #tamilskincare,2025-03-24T11:06:08Z,skincare review,False,
bECCGZgkZTs,*VIRAL* SKINCARE PRODUCTS honest review😳💸 #trending #shorts,2025-07-31T11:30:29Z,skincare review,False,
UJDke1v_Awk,"5 Viral Skincare Products Under ₹500 – Tested &amp; Rated! 🫶🏻 wishcare, dot &amp; key &amp; Vaseline n more ✨",2025-08-08T10:47:46Z,skincare review,False,
1gSkmtep8c0,500 PESOS SKINCARE ROUTINE from WATSONS? Kaya ba?! 😳 (Filipino) | Jan Angelo,2025-11-27T10:00:02Z,skincare review,False,
zwvZ9RdNaNI,The ordinary Azelaic Acid Suspension 10% Review #theodinary  #skincareroutine #skincare #review,2025-06-09T19:34:32Z,skincare review,False,
